砀,1,0,0,,,0,石部,石 (いしへん),,,
码,1,0,0,,,0,石部,石 (いしへん),,,
砂,1,1,6,サ シャ,すな,9,石部,石 (いしへん),砂糖 土砂 高砂 砂利 砂防 黄砂 砂地 土砂降り 砂場 白砂 真砂 砂利道 砂金 砂岩 砂子 砂山 砂鉄 砂原 砂州 砂遊び 砂上 玉砂利 砂質 流砂 粉砂糖 星砂 鳴き砂 底砂 海砂 川砂 熱砂 砂ぼこり 砂絵 金砂 砂層 砂像 防砂 海砂利 砂型 山砂 砂浴び 黒砂 飛砂 砂かぶり 砂中 砂出し ホウ砂 砂走り 砂れき 砂箱 砂流し 細砂 砂土 砂あそび 鉄砂 盛砂 砂虫 川砂利 砂じん 山砂利 泣き砂 紙砂 貯砂 砂ほこり 盛り砂 砂鉱 風砂 砂風 砂落とし,砂糖 土砂 高砂 砂利 砂防 黄砂 砂地 砂場 白砂 砂時計 黒砂糖 真砂 砂利道 砂金 砂岩 砂子 砂山 砂鉄 氷砂糖 砂原 砂州 砂上 角砂糖 玉砂利 砂質 流砂 粉砂糖 星砂 底砂 海砂 川砂 熱砂 砂絵 金砂 砂層 砂像 防砂 海砂利 砂型 山砂 砂質土 黒砂 飛砂 真砂土 砂中 砂色 砂箱 細砂 金砂子 砂土 赤砂糖 銀砂子 鉄砂 盛砂 砂虫 川砂利 山砂利 紙砂 貯砂 砂鉱 風砂 砂風,土砂 高砂 砂利 砂防 黄砂 砂地 砂場 白砂 真砂 砂利道 砂金 砂岩 砂子 砂山 砂鉄 砂原 砂州 砂遊び 砂上 玉砂利 砂質 流砂 星砂 鳴き砂 底砂 海砂 川砂 熱砂 砂ぼこり 砂絵 金砂 砂像 防砂 海砂利 砂型 山砂 砂浴び 黒砂 飛砂 砂かぶり 砂中 砂出し ホウ砂 砂走り 砂れき 砂箱 砂流し 細砂 砂土 砂あそび 鉄砂 砂虫 川砂利 砂じん 山砂利 泣き砂 紙砂 貯砂 砂ほこり 砂鉱 風砂 砂風 砂落とし 砂時計 砂質土 真砂土 砂色 金砂子 銀砂子
砃,1,0,0,タン,,0,石部,石 (いしへん),,,
砄,1,0,0,ケツ ケチ,,0,石部,石 (いしへん),,,
砅,1,4,0,レイ リ ヒョウ,,0,石部,石 (いしへん),,,
砆,1,4,0,フ,,0,石部,石 (いしへん),,,
砇,1,0,0,ビン ミン,,0,石部,石 (いしへん),,,
砈,1,0,0,ダ ガ ナ,,0,石部,石 (いしへん),,,
砉,1,4,0,カク ケキ ギャク キャク,,0,石部,石 (いし),,,
砊,1,0,0,コウ キョウ,,0,石部,石 (いしへん),,,
砋,1,0,0,シ,,0,石部,石 (いしへん),,,
砌,1,2,12,セイ サイ,みぎり,9,石部,石 (いしへん),,,
