𫞱,7,0,0,エン,しお,0,,,,,
𫞲,7,0,0,シン,ま まこと,0,,,,,
𫞳,7,0,0,,,0,,,,,
𫞴,7,0,0,サイ,まつる まつり,0,,,,,
𫞵,7,0,0,ソ,はじめ,0,,,,,
𫞶,7,0,0,,なで,0,,,,,
𫞷,7,0,0,,,0,,,,,
𫞸,7,0,0,,ばら,0,,,,,
𫞹,7,0,0,クウ ク コウ,そら あく あける から むなしい すく,0,,,,,
𫞺,7,0,0,セチ セツ,ぬすむ,0,,,,,
𫞻,7,0,0,,,0,,,,,
𫞼,7,0,0,,,0,,,,,
𫞽,7,0,0,サ サイ,みの,0,,,,,
𫞾,7,0,0,ヘイ,,0,,,,,
𫞿,7,0,0,ヤナセ,やな,0,,,,,
𫟀,7,0,0,,もち,0,,,,,
𫟁,7,0,0,カ ゲ,,0,,,,,
𫟂,7,0,0,,,0,,,,,
𫟃,7,0,0,,,0,,,,,
𫟄,7,0,0,,,0,,,,,
𫟅,7,0,0,,,0,,,,,
𫟆,7,0,0,,,0,,,,,
𫟇,7,0,0,,,0,,,,,
𫟈,7,0,0,ビ,うつくしい,0,,,,,
𫟉,7,0,0,ショク トク ヨク シキ,つかさ,0,,,,,
𫟊,7,0,0,,,0,,,,,
𫟋,7,0,0,ヨ,あたえる,0,,,,,
𫟌,7,0,0,ガイ,かる,0,,,,,
𫟍,7,0,0,エン オン,その,0,,,,,
𫟎,7,0,0,コウ,あらい あれる あらす,0,,,,,
𫟏,7,0,0,ト ツ ズ,,0,,,,,
𫟐,7,0,0,,ぼう,0,,,,,
𫟑,7,0,0,,,0,,,,,
𫟒,7,0,0,ヨウ,は,0,,,,,
𫟓,7,0,0,ガン カン,つぼみ,0,,,,,
𫟔,7,0,0,ケツ カチ,わらび,0,,,,,
𫟕,7,0,0,,,0,,,,,
𫟖,7,0,0,ゾウ,くら,0,,,,,
𫟗,7,0,0,,,0,,,,,
𫟘,7,0,0,エイ,まもる,0,,,,,
𫟙,7,0,0,エイ,まもる,0,,,,,
𫟚,7,0,0,リ,うら,0,,,,,
𫟛,7,0,0,タン,,0,,,,,
𫟜,7,0,0,カン ケン,みる しめす,0,,,,,
𫟝,7,0,0,ジョウ,ゆずる,0,,,,,
𫟞,7,0,0,,,0,,,,,
𫟟,7,0,0,,,0,,,,,
𫟠,7,0,0,,,0,,,,,
𫟡,7,0,0,,,0,,,,,
𫟢,7,0,0,,,0,,,,,
𫟣,7,0,0,,,0,,,,,
𫟤,7,0,0,,,0,,,,,
