赈,1,0,0,,,0,貝部,贝 (かいへん),,,
赉,1,0,0,,,0,貝部,贝 (かい),,,
赊,1,0,0,,,0,貝部,贝 (かいへん),,,
赋,1,0,0,,,0,貝部,贝 (かいへん),,,
赌,1,0,0,,,0,貝部,贝 (かいへん),,,
赍,1,0,0,,,0,貝部,贝 (かい),,,
赎,1,0,0,,,0,貝部,贝 (かいへん),,,
赏,1,0,0,,,0,貝部,贝 (かい),,,
赐,1,0,0,,,0,貝部,贝 (かいへん),,,
赑,1,0,0,,,0,貝部,贝 (かい),,,
赒,1,0,0,,,0,貝部,贝 (かいへん),,,
赓,1,0,0,,,0,貝部,贝 (かい),,,
赔,1,0,0,,,0,貝部,贝 (かいへん),,,
赕,1,0,0,,,0,貝部,贝 (かいへん),,,
赖,1,0,0,,,0,貝部,贝 (かい),,,
赗,1,0,0,,,0,貝部,贝 (かいへん),,,
赘,1,0,0,,,0,貝部,贝 (かい),,,
赙,1,0,0,,,0,貝部,贝 (かいへん),,,
赚,1,0,0,,,0,貝部,贝 (かいへん),,,
赛,1,0,0,,,0,貝部,贝 (かい),,,
赜,1,0,0,,,0,貝部,贝 (かい),,,
赝,1,0,0,,,0,貝部,贝 (かい),,,
赞,1,0,0,,,0,貝部,贝 (かい),,,
赟,1,0,0,,,0,貝部,贝 (かい),,,
赠,1,0,0,,,0,貝部,贝 (かいへん),,,
赡,1,0,0,,,0,貝部,贝 (かいへん),,,
赢,1,0,0,,,0,貝部,贝 (かい),,,
赣,1,0,0,,,0,貝部,贝 (かい),,,
赤,1,1,1,セキ シャク,あか あか-い あか-らむ あか-らめる,7,赤部,赤 (あか),赤い 赤ちゃん 赤字 赤木 赤子 赤とんぼ 赤土 赤玉 赤目 赤白 赤本 赤だし 赤貝 赤ひげ 赤青 赤かぶ 赤水 赤犬 赤虫 赤トンボ 赤らめる 赤花 まっ赤 赤カブ 白赤 赤べこ 赤口 七赤 赤赤 赤金 赤マル 赤チン 赤バラ 赤月 赤し 赤出し 大赤 赤おに 赤糸 赤んぼ 赤らむ 赤さび 赤サビ 赤んぼう 赤ニキビ 赤まむし 赤耳 赤ウニ 赤らみ 赤手 赤あざ 赤むつ 赤エビ 赤まんま 赤める 赤えい 赤ふんどし 赤カビ 赤えび 赤むけ 赤アザ 赤まる 赤ミミズ 赤タン 赤ナマコ 赤メバル,赤字 赤木 赤子 赤土 赤玉 赤目 赤白 赤本 赤貝 赤青 赤水 赤玉土 赤犬 赤虫 赤花 白赤 赤口 七赤 赤赤 赤金 赤月 大赤 赤糸 赤耳 赤手,赤い 赤ちゃん 赤とんぼ 赤だし 赤ひげ 赤かぶ 赤トンボ 赤らめる まっ赤 赤カブ 赤べこ 赤マル 赤チン 赤バラ 赤し 赤おに 赤んぼ 赤らむ 赤さび 赤サビ 赤んぼう 赤ニキビ 赤まむし 赤ウニ 赤らみ 赤あざ 赤むつ 赤エビ 赤まんま 赤める 赤えい 赤ふんどし 赤カビ 赤えび 赤むけ 赤アザ 赤まる 赤ミミズ 赤タン 赤ナマコ 赤メバル
赥,1,0,0,ケキ キャク キョク コキ,,0,赤部,赤 (あかへん),,,
