U+2F869	嬈	3	0	0			14	37										嬈														
U+2F86A	嬾	3	0	0			19	37			嬾							嬾														
U+2F86B	嬾	3	0	0			19	37			嬾							嬾														
U+2F86C	𡧈	3	0	0			6	39			宇							𡧈														
U+2F86D	寃	3	0	0			11	39			冤							寃														
U+2F86E	寘	3	0	0			13	39										寘														
U+2F86F	寧	3	0	0			14	39			寧							寧														
U+2F870	寳	3	0	0			19	39			寶							寳														
U+2F871	𡬘	3	0	0			24	39			𡬘							𡬘														
U+2F872	寿	3	0	0			7	40			壽							寿														
U+2F873	将	3	0	0			10	40			將							将														
U+2F874	当	3	0	0			6	41			當							当														
U+2F875	尢	3	0	0			3	42			尤尢							尢														
U+2F876	㞁	3	0	0			9	42			㞁							㞁														
U+2F877	屠	3	0	0			12	43			屠							屠														
U+2F878	屮	3	0	0			3	44			屮屮							屮						cit3								
U+2F879	峀	3	0	0			8	45										峀														
U+2F87A	岍	3	0	0			9	45			岍							岍														
U+2F87B	𡷤	3	0	0			10	45			峿							𡷤														
U+2F87C	嵃	3	0	0			12	45			嵃							嵃														
U+2F87D	𡷦	3	0	0			12	45			岊							𡷦														
U+2F87E	嵮	3	0	0			13	45			巔							嵮														
U+2F87F	嵫	3	0	0			12	45			嵫							嵫														
U+2F880	嵼	3	0	0			14	45			嵼							嵼														
U+2F881	巡	3	0	0			6	46			巡							巡														
U+2F882	巢	3	0	0			13	46			巢							巢														
U+2F883	㠯	3	0	0			5	48										㠯														
U+2F884	巽	3	0	0			12	48			巽							巽														
U+2F885	帨	3	0	0			10	49			帨							帨														
U+2F886	帽	3	0	0			12	49			帽							帽														
U+2F887	幩	3	0	0			16	49			幩							幩														
U+2F888	㡢	3	0	0			16	49			幔							㡢														
U+2F889	𢆃	3	0	0			25	49			㡪							𢆃														
U+2F88A	㡼	3	0	0			9	52			𢇸							㡼														
U+2F88B	庰	3	0	0			11	52			庰							庰														
U+2F88C	庳	3	0	0			10	52			庳							庳														
U+2F88D	庶	3	0	0			11	52			庶							庶														
U+2F88E	廊	3	0	0			13	52			廊							廊														
U+2F88F	𪎒	3	0	0			14	199			梵							𪎒														
U+2F890	廾	3	0	0			4	54			竹廾							廾														
U+2F891	𢌱	3	0	0			6	54			與							𢌱														
U+2F892	𢌱	3	0	0			7	54			與							𢌱														
U+2F893	舁	3	0	0			9	133			舁							舁														
U+2F894	弢	3	0	0			8	56										弢						tou1								
U+2F895	弢	3	0	0			8	56										弢														
U+2F896	㣇	3	0	0			8	57			㣇							㣇														
U+2F897	𣊸	3	0	0			16	71			䝆							𣊸														
U+2F898	𦇚	3	0	0			22	119			彝							𦇚														
U+2F899	形	3	0	0			9	58			形							形														
