U+781C,砜,1,0,0,,,9,111,石 (いしへん),石风,,,
U+781D,砝,1,0,0,キョウ コウ ホウ,,10,111,石 (いしへん),石去,,,
U+781E,砞,1,0,0,バツ マチ,,10,111,石 (いしへん),石末,,,
U+781F,砟,1,0,0,サ ジャ サク ザク,,10,111,石 (いしへん),石乍,,,
U+7820,砠,1,2,12,ショ ソ,,10,111,石 (いしへん),石且,,,
U+7821,砡,1,4,0,ギク ゴク ギョク,,10,111,石 (いしへん),石玉,,,
U+7822,砢,1,0,0,ラ カ,,10,111,石 (いしへん),石可,,,
U+7823,砣,1,0,0,タ ダ,,10,111,石 (いしへん),石它,,,
U+7824,砤,1,0,0,タ,,10,111,石 (いしへん),石㐌,,,
U+7825,砥,1,1,11,シ テイ タイ,と といし,10,111,石 (いしへん),石氐,砥石 砥粒 荒砥 中砥 砥の粉 砥草 砥ぐ 革砥 粗砥,砥石 砥粒 荒砥 中砥 砥草 革砥 粗砥,砥石 砥粒 荒砥 中砥 砥の粉 砥草 砥ぐ 革砥 粗砥
U+7826,砦,1,1,11,サイ ゼ,とりで,11,111,石 (いし),此石,城砦 隠し砦 鹿砦 砦跡 山砦,城砦 鹿砦 砦跡 山砦,城砦 隠し砦 鹿砦 砦跡 山砦
U+7827,砧,1,1,11,チン,きぬた,10,111,石 (いしへん),石占,,,
U+7828,砨,1,0,0,アイ ア ヤク アク,,10,111,石 (いしへん),𰦩乙 石戹,,,
U+7829,砩,1,0,0,ハイ ヘ フツ ブチ,,10,111,石 (いしへん),石弗,,,
U+782A,砪,1,0,0,ボウ モ,,10,111,石 (いしへん),石母,,,
U+782B,砫,1,0,0,シュ,,10,111,石 (いしへん),石主,,,
U+782C,砬,1,4,0,リュウ ロウ,,10,111,石 (いしへん),石立,,,
U+782D,砭,1,3,0,ヘン,いしばり いましめ,9,111,石 (いしへん),石乏,,,
U+782E,砮,1,0,0,ド ヌ,,10,111,石 (いし),奴石,,,
U+782F,砯,1,0,0,ヒョウ,,10,111,石 (いしへん),石氷,,,
U+7830,砰,1,0,0,ホウ ヒョウ ビョウ,,10,111,石 (いしへん),石平,,,
U+7831,砱,1,0,0,レイ リョウ,,10,111,石 (いしへん),石令,,,
