U+2EBF0,𮯰,12,0,0,,,4,0 6,,,,
U+2EBF1,𮯱,12,0,0,,,5,2 136,,,,
U+2EBF2,𮯲,12,0,0,,,4,3 92,,,,
U+2EBF3,𮯳,12,0,0,,,14,7 85,,,,
U+2EBF4,𮯴,12,0,0,,,4,8,,,,
U+2EBF5,𮯵,12,0,0,,,5,8,,,,
U+2EBF6,𮯶,12,0,0,,,5,8,,,,
U+2EBF7,𮯷,12,0,0,,,5,8,,,,
U+2EBF8,𮯸,12,0,0,,,6,8,,,,
U+2EBF9,𮯹,12,0,0,,,6,8,,,,
U+2EBFA,𮯺,12,0,0,,,7,8,,,,
U+2EBFB,𮯻,12,0,0,,,7,8,,,,
U+2EBFC,𮯼,12,0,0,,,10,8,,,,
U+2EBFD,𮯽,12,0,0,,,10,8,,,,
U+2EBFE,𮯾,12,0,0,,,10,8,,,,
U+2EBFF,𮯿,12,0,0,,,11,8,,,,
U+2EC00,𮰀,12,0,0,,,11,8,,,,
U+2EC01,𮰁,12,0,0,,,11,8,,,,
U+2EC02,𮰂,12,0,0,,,14,8,,,,
U+2EC03,𮰃,12,0,0,,,8,10,,,,
U+2EC04,𮰄,12,0,0,,,7,13 211,,,,
U+2EC05,𮰅,12,0,0,,,12,13,,,,
U+2EC06,𮰆,12,0,0,,,5,14,,,,
U+2EC07,𮰇,12,0,0,,,13,14,,,,
U+2EC08,𮰈,12,0,0,,,14,14,,,,
U+2EC09,𮰉,12,0,0,,,7,15,,,,
U+2EC0A,𮰊,12,0,0,,,9,15,,,,
U+2EC0B,𮰋,12,0,0,,,13,15,,,,
U+2EC0C,𮰌,12,0,0,,,8,17,,,,
U+2EC0D,𮰍,12,0,0,,,8,18,,,,
U+2EC0E,𮰎,12,0,0,,,10,18,,,,
U+2EC0F,𮰏,12,0,0,,,10,23,,,,
U+2EC10,𮰐,12,0,0,,,16,23,,,,
U+2EC11,𮰑,12,0,0,,,8,26,,,,
U+2EC12,𮰒,12,0,0,,,15,26,,,,
U+2EC13,𮰓,12,0,0,,,6,28,,,,
U+2EC14,𮰔,12,0,0,,,7,29,,,,
U+2EC15,𮰕,12,0,0,,,11,29,,,,
U+2EC16,𮰖,12,0,0,,,12,29,,,,
U+2EC17,𮰗,12,0,0,,,21,29,,,,
U+2EC18,𮰘,12,0,0,,,9,30,,,,
U+2EC19,𮰙,12,0,0,,,4,4 31,,,,
U+2EC1A,𮰚,12,0,0,,,6,31,,,,
U+2EC1B,𮰛,12,0,0,,,7,31,,,,
U+2EC1C,𮰜,12,0,0,,,7,31,,,,
U+2EC1D,𮰝,12,0,0,,,9,31,,,,
U+2EC1E,𮰞,12,0,0,,,9,31,,,,
U+2EC1F,𮰟,12,0,0,,,9,31,,,,
U+2EC20,𮰠,12,0,0,,,9,31,,,,
U+2EC21,𮰡,12,0,0,,,9,31,,,,
U+2EC22,𮰢,12,0,0,,,10,31,,,,
U+2EC23,𮰣,12,0,0,,,10,31,,,,
U+2EC24,𮰤,12,0,0,,,11,31,,,,
U+2EC25,𮰥,12,0,0,,,12,31,,,,
U+2EC26,𮰦,12,0,0,,,12,31,,,,
U+2EC27,𮰧,12,0,0,,,12,31,,,,
U+2EC28,𮰨,12,0,0,,,13,31,,,,
U+2EC29,𮰩,12,0,0,,,14,31,,,,
U+2EC2A,𮰪,12,0,0,,,14,31,,,,
U+2EC2B,𮰫,12,0,0,,,14,31,,,,
U+2EC2C,𮰬,12,0,0,,,14,31,,,,
U+2EC2D,𮰭,12,0,0,,,15,31,,,,
U+2EC2E,𮰮,12,0,0,,,16,31,,,,
U+2EC2F,𮰯,12,0,0,,,17,31,,,,
U+2EC30,𮰰,12,0,0,,,6,32,,,,
U+2EC31,𮰱,12,0,0,,,9,32,,,,
U+2EC32,𮰲,12,0,0,,,9,32,,,,
U+2EC33,𮰳,12,0,0,,,17,33,,,,
U+2EC34,𮰴,12,0,0,,,7,36,,,,
U+2EC35,𮰵,12,0,0,,,9,36,,,,
U+2EC36,𮰶,12,0,0,,,11,36,,,,
U+2EC37,𮰷,12,0,0,,,5,37,,,,
U+2EC38,𮰸,12,0,0,,,6,37,,,,
U+2EC39,𮰹,12,0,0,,,7,37,,,,
U+2EC3A,𮰺,12,0,0,,,7,37,,,,
U+2EC3B,𮰻,12,0,0,,,7,37,,,,
U+2EC3C,𮰼,12,0,0,,,7,37,,,,
U+2EC3D,𮰽,12,0,0,,,8,37,,,,
U+2EC3E,𮰾,12,0,0,,,8,37,,,,
U+2EC3F,𮰿,12,0,0,,,9,37,,,,
U+2EC40,𮱀,12,0,0,,,9,37,,,,
U+2EC41,𮱁,12,0,0,,,9,37,,,,
U+2EC42,𮱂,12,0,0,,,9,37,,,,
U+2EC43,𮱃,12,0,0,,,9,37,,,,
U+2EC44,𮱄,12,0,0,,,10,37,,,,
U+2EC45,𮱅,12,0,0,,,10,37,,,,
U+2EC46,𮱆,12,0,0,,,10,37,,,,
U+2EC47,𮱇,12,0,0,,,11,37,,,,
U+2EC48,𮱈,12,0,0,,,11,37,,,,
U+2EC49,𮱉,12,0,0,,,11,37,,,,
U+2EC4A,𮱊,12,0,0,,,11,37,,,,
U+2EC4B,𮱋,12,0,0,,,11,37,,,,
U+2EC4C,𮱌,12,0,0,,,11,37,,,,
U+2EC4D,𮱍,12,0,0,,,12,37,,,,
U+2EC4E,𮱎,12,0,0,,,12,37,,,,
U+2EC4F,𮱏,12,0,0,,,12,37,,,,
U+2EC50,𮱐,12,0,0,,,12,37,,,,
