U+2B740	𫝀	7	0	0	ゴ	いつ いつつ	3	0		丄𠃍	五									ゴ いつ いつつ												
U+2B741	𫝁	7	0	0	ボウ	う	6	0		丌口	丣卯									ボウ う												
U+2B742	𫝂	7	0	0	ショ	ところ	7	0		一丶𬼀丿丅	所									ショ ところ												
U+2B743	𫝃	7	0	0	ジ ニ	なんじ しかり	14	0		丅丷冂𠈌	爾									ジ ニ なんじ しかり												
U+2B744	𫝄	7	0	0	キュウ ク	ひさしい	3	3		丿人	久									キュウ ク ひさしい												
U+2B745	𫝅	7	0	0		い	6	7		亠人厶										い												
U+2B746	𫝆	7	0	0	コン キン	いま	5	8		亼丆	今									コン キン いま												
U+2B747	𫝇	7	0	0	メイ ミョウ	いのち	8	8		𠇭丶	㑒命									メイ ミョウ いのち												
U+2B748	𫝈	7	0	0			8	8		亻军						㑮			last name, girl's name				hún									
U+2B749	𫝉	7	0	0	ソウ	くら	10	8		人丆𫜹口	倉									ソウ くら												
U+2B74A	𫝊	7	0	0	デン	つたえる つたわる つたう	11	8		亻専	傳									デン つたえる つたわる つたう												
U+2B74B	𫝋	7	0	0			13	8		亻𰀡豆	𠐊					𠐊							shù									
U+2B74C	𫝌	7	0	0	ヨ	あたえる	9	9		〢朩𬺢	與									ヨ あたえる												
U+2B74D	𫝍	7	0	0	コウ	おか	9	12		𦉰止	岡									コウ おか												
U+2B74E	𫝎	7	0	0			9	14		冫見																						
U+2B74F	𫝏	7	0	0			11	14		冫彥																						
U+2B750	𫝐	7	0	0	ゼン	まえ	9	17		䒑日刂	前									ゼン まえ												
U+2B751	𫝑	7	0	0	セイ	いきおい	13	18		執力	勢									セイ いきおい												
U+2B752	𫝒	7	0	0	ヒ		7	23		旧十	旱									ヒ												
U+2B753	𫝓	7	0	0	キョウ ギョウ	かなう	8	23		十力冫丿丶	協									キョウ ギョウ かなう												
U+2B754	𫝔	7	0	0	ギョウ		9	23		土〢元 十𮯰兀	堯									ギョウ												
U+2B755	𫝕	7	0	0	シン ジン	たつ	7	26		厂巳乀丿	辰									シン ジン たつ												
U+2B756	𫝖	7	0	0	ソ		10	26		勹厂〢コ八	麁									ソ												
U+2B757	𫝗	7	0	0	コウ	あつい	10	26		厂丿㫗	厚									コウ あつい												
U+2B758	𫝘	7	0	0			6	29		口尢																						
U+2B759	𫝙	7	0	0			9	29		向上																						
U+2B75A	𫝚	7	0	0			14	29		唓云 口転	囀																					
U+2B75B	𫝛	7	0	0			15	29		相同																						
U+2B75C	𫝜	7	0	0			17	29		口雑 𠱞隹	囃												zǎ									
U+2B75D	𫝝	7	0	0	ガン ゲン ゴン	おごそか きびしい いかめしい いつくし いましめる	18	29		𫩏𠪚	嚴									ガン ゲン ゴン おごそか きびしい いかめしい いつくし いましめる												
U+2B75E	𫝞	7	0	0			22	29		口霧																						
U+2B75F	𫝟	7	0	0	チョウ チュ		12	31		土𫟯	堹									チョウ チュ												
U+2B760	𫝠	7	0	0	ダン		14	31		土覀且	壇									ダン												
U+2B761	𫝡	7	0	0	ダ タ キ	おこたる おちる くずす くずれる	16	31		随土	堕					𡓗				ダ タ キ おこたる おちる くずす くずれる												
U+2B762	𫝢	7	0	0	ショウ	ます	6	35		㚈丶	升叔舛									ショウ ます												
U+2B763	𫝣	7	0	0		ます	7	35		夕𰀁丶	升叔舛									ます												
U+2B764	𫝤	7	0	0	シュ ソウ	かなでる すすめる	10	36		龹天	奏									シュ ソウ かなでる すすめる												
U+2B765	𫝥	7	0	0			16	36		美良																						
U+2B766	𫝦	7	0	0			7	37		女贝						㛝			used in girl's name				bèi	bui3								
U+2B767	𫝧	7	0	0			9	37		女岂						㜐			used in girl's name				shù	syu6								
U+2B768	𫝨	7	0	0			9	37		女军						媈							huī	fai1								
U+2B769	𫝩	7	0	0			10	37		女寿						嬦							chóu	cau4								
U+2B76A	𫝪	7	0	0			10	37		女贡						𡟫							gòng									
U+2B76B	𫝫	7	0	0			10	37		女来						婡							lái	loi4								
U+2B76C	𫝬	7	0	0			12	37		女贵						嬇							kuì	wui6								
U+2B76D	𫝭	7	0	0			14	37		女婴						孆							yīng	jing1								
U+2B76E	𫝮	7	0	0			15	37		女阑						孄							lǎn	laan5								
U+2B76F	𫝯	7	0	0	ガク	まなぶ	15	38		𦥑𠃑一丨冖子	學									ガク まなぶ												
U+2B770	𫝰	7	0	0		かま かまど	14	39		宀亀	竈									かま かまど												
U+2B771	𫝱	7	0	0	ネイ		15	39		宓𦉬	寧									ネイ												
U+2B772	𫝲	7	0	0	コウ	しり	6	43		尸九丶	尻									コウ しり												
U+2B773	𫝳	7	0	0	コ		6	45		山弓	𡴰									コ												
U+2B774	𫝴	7	0	0			9	45		山后																						
U+2B775	𫝵	7	0	0			10	45		山寿						嶹							dǎo	dou2								
U+2B776	𫝶	7	0	0	サ ザ	います くら すわる	11	52		广㘴	座									サ ザ います くら すわる												
U+2B777	𫝷	7	0	0	ザ	すわる	11	52		广𡊙 广叹土	座									ザ すわる												
U+2B778	𫝸	7	0	0	ゲン	ひこ	9	58		产𫝄	彥彦									ゲン ひこ												
U+2B779	𫝹	7	0	0	ネン		7	60		人忈	念									ネン												
U+2B77A	𫝺	7	0	0			8	63		扌甩																						
U+2B77B	𫝻	7	0	0			9	63		扌回																						
U+2B77C	𫝼	7	0	0	ハツ バチ バツ ハチ ボチ	はねる おさめる かかげる のぞく ばち	12	63		扌発	撥									ハツ バチ バツ ハチ ボチ はねる おさめる かかげる のぞく ばち												
U+2B77D	𫝽	7	0	0			13	63		扌修																						
