侪,亻齐
侫,亻妄 亻亠𠃊女
侬,亻农
侭,亻尽
侮,亻每 亻毎
侯,亻ユ矢
侰,亻君
侱,亻呈
侲,亻辰
侳,亻坐
侴,亼丑刂
侵,亻𠬶
侶,亻呂
侷,亻局
侸,亻豆
侹,亻廷
侺,亻岑
侻,亻兑 亻兌
侼,亻孛
侽,亻男
侾,亻孝
便,亻更
俀,亻妥
俁,亻吳
係,亻系
促,亻足
俄,亻我
俅,亻求
俆,亻余
俇,亻狂
俈,亻告 亻吿
俉,亻吾
俊,亻夋
俋,亻邑
俌,亻甫
俍,亻良
俎,仌且
俏,亻肖
俐,亻利
俑,亻甬
俒,亻完
俓,亻巠
俔,亻見
俕,亻宋
俖,亻否
俗,亻谷
俘,亻孚
俙,亻希
俚,亻里
俛,亻免
俜,亻甹
保,亻呆
俞,亼刖 𠓛刖
俟,亻矣
俠,亻夾
信,亻言
俢,亻㣊
俣,亻吴
俤,亻弟
俥,亻車
俦,亻寿
俧,亻志
俨,亻严
俩,亻两
俪,亻丽
俫,亻来
俬,亻私
俭,亻佥
修,攸彡
俯,亻府 𠆲付
俰,亻和
俱,亻具
俲,亻効
俳,亻非
俴,亻戔
俵,亻表
俶,亻叔 㑐又
俷,亻肥 仴巴
俸,亻奉
俹,亻亞
俺,亻奄
俻,亻备
俼,亻育
俽,亻欣 伒欠
俾,亻卑
俿,亻虎
倀,亻長
倁,亻知
倂,亻幷 亻丷幵
倃,亻咎 佫卜 佫人
倄,亻肴
倅,亻卒
倆,亻兩
倇,亻宛
倈,亻來
倉,亽𡰪一 亼𡰪一 人丶𡰪一
倊,亻忩
個,亻固
倌,亻官
倍,亻咅
倎,亻典
倏,攸犬
倐,攸火
們,亻門
倒,亻到
倓,亻炎
倔,亻屈 𰁢出
倕,亻垂
倖,亻幸
倗,亻朋 仴月
倘,亻尚 亻尙
候,亻丨ユ矢
倚,亻奇
倛,亻其
倜,亻周
倝,𠦝人 𠦝大 𠦝𠂉
倞,亻京
借,亻昔
倠,亻隹
倡,亻昌
倢,亻疌
倣,亻放 仿攵
値,亻直
倥,亻空
倦,亻卷
倧,亻宗
倨,亻居 𰁢古
倩,亻青 亻靑
倪,亻兒
倫,亻侖
倬,亻卓
倭,亻委
倮,亻果
倯,亻松
倰,亻夌
倱,亻昆
倲,亻東
倳,亻事
倴,亻奔
倵,亻武
倶,亻具
倷,亻奈
倸,亻采
倹,亻㑒 亻亼人口
债,亻责
倻,亻耶 佴阝
值,亻直
倽,亻舍
倾,亻顷
倿,亻妾
偀,亻英
偁,亻爯 亻爫冉
偂,亻前
偃,亻匽
偄,亻耎
偅,亻重
偆,亻春
假,亻叚
偈,亻曷
偉,亻韋
偊,亻禹
偋,亻屏 𰁢并
偌,亻若
偍,亻是
偎,亻畏
偏,𬽬𠕁 亻扁
偐,亻彦 亻彥
偑,亻風
偒,亻昜
偓,亻屋 𰁢至
偔,亻咢
偕,亻皆
偖,亻者
偗,亻省
偘,亻品
偙,亻帝
做,亻故 估攵
偛,亻臿
停,亻亭
偝,亻背
偞,亻枼
偟,亻皇
偠,亻要
偡,亻甚
偢,亻秋
偣,亻音
偤,亻酋
健,亻建
偦,亻胥
偧,亻奓
偨,亻柴
偩,亻負
偪,亻畐
偫,亻待
偬,亻怱
偭,亻面
偮,亻咠 亻口耳
偯,亻哀
偰,亻契
偱,亻盾
偲,亻思
偳,亻耑
側,亻則 𰂇刂
偵,亻貞
偶,亻禺
偷,亻俞 亻𠓛刖
偸,亻兪
偹,亻丨备
偺,亻昝
偻,亻娄
偼,亻⺊𫜹龰 亻⺊⺕龰
偽,亻為
偾,亻贲
偿,亻尝
傀,亻鬼
傁,亻叟
傂,亻虒
傃,亻素
傄,亻眘
傅,亻尃
傆,亻原
傇,亻茸 亻艹耳
傈,亻栗
傉,侲寸 亻辱
傊,亻員
傋,亻冓
傌,亻馬
傍,亻旁
傎,亻真 亻眞
傏,亻唐
傐,亻高
傑,亻桀
傒,亻奚
傓,亻扇 𬽬羽
傔,亻兼
傕,亻隺
傖,亻倉
傗,亻畜
傘,个从丛
備,亻𤰇
傚,亻效
傛,亻容
傜,亻䍃
傝,亻𦐇
傞,亻差
傟,亻翁
傠,亻討 信寸
傡,亻竝
傢,亻家
傣,亻泰
傤,亻载
傥,亻党
傦,亻骨
傧,亻宾
储,亻诸
傩,亻难
傪,亻參
傫,亻累
催,亻崔
傭,亻庸 𠆲𬎾
傮,亻曹
傯,亻悤
傰,亻崩 亻山朋
傱,亻從
傲,亻敖
傳,亻專
傴,亻區
債,亻責
傶,亻戚
傷,亻𬀷
傸,亻爽
傹,亻竟
傺,亻祭
傻,亻𡕩 亻囟儿夂
傼,亻𦰩 亻廿人𠮡
傽,亻章
傾,亻頃 化頁
傿,亻焉
僀,亻帶
僁,亻悉
僂,亻婁
僃,亻𬜠用 亻𤰈
僄,亻票
僅,亻堇
僆,亻連
僇,亻翏
僈,亻曼
僉,亼吅从
僊,亻䙴
僋,亻貪
僌,亻𨊴 俥攵
働,亻動
僎,亻巽
像,亻象
僐,亻善
僑,亻喬
僒,亻窘
僓,亻貴
僔,亻尊
僕,亻菐 彳菐
僖,亻喜
僗,亻勞
僘,亻敞 倘攵
僙,亻黄 亻黃
僚,亻尞
僛,亻欺 倛欠
僜,亻登
僝,亻孱 𰁢孨
僞,亻爲
僟,亻幾
僠,亻番
僡,亻惠
僢,亻舜
僣,亻替
僤,亻單
僥,亻堯
僦,亻就 倞尤
僧,亻曾 亻曽
僨,亻賁
僩,亻閒
僪,亻矞
僫,亻惡
僬,亻焦
僭,亻朁
僮,亻童
僯,亻粦
僰,朿朿人
僱,亻雇 𬽬隹
僲,亻覀舛
僳,亻粟
僴,亻間
僵,亻畺
