嶐,山部,さんぶ,山,やまかんむり
嶝,山部,さんぶ,山,やまへん
嶢,山部,さんぶ,山,やまへん
嶬,山部,さんぶ,山,やまへん
嶮,山部,さんぶ,山,やまへん
嶷,山部,さんぶ,山,やまかんむり
嶺,山部,さんぶ,山,やまかんむり
嶼,山部,さんぶ,山,やまへん
嶽,山部,さんぶ,山,やまかんむり
巉,山部,さんぶ,山,やまへん
巌,山部,さんぶ,山,やまかんむり
巍,山部,さんぶ,山,やまかんむり
巒,山部,さんぶ,山,やま
巓,山部,さんぶ,山,やまかんむり
巖,山部,さんぶ,山,やまかんむり
巛,巛部,せんぶ,巛,まがりがわ まげかわ
川,巛部,せんぶ,川,かわ さんぼんがわ
州,巛部,せんぶ,川,かわ さんぼんがわ
巡,巛部,せんぶ,巛,まがりがわ まげかわ
巣,ツ部,つぶ,⺍,つ つかんむり
工,工部,こうぶ,工,こう たくみ え
左,工部,こうぶ,工,こう たくみ え
巧,工部,こうぶ,工,たくみへん
巨,匚部,ほうぶ,匚,はこがまえ
巫,工部,こうぶ,工,こう たくみ え
差,工部,こうぶ,工,こう たくみ え
己,己部,きぶ,己,おのれ
已,己部,きぶ,己,おのれ
巳,己部,きぶ,己,おのれ
巴,己部,きぶ,己,おのれ
巵,己部,きぶ,己,おのれ
巷,己部,きぶ,己,おのれ
巻,己部,きぶ,己,おのれ
巽,己部,きぶ,己,おのれ
巾,巾部,きんぶ,巾,はば
市,巾部,きんぶ,巾,はば
布,巾部,きんぶ,巾,はば
帆,巾部,きんぶ,巾,はばへん きんへん きんべん
帋,巾部,きんぶ,巾,はば
希,巾部,きんぶ,巾,はば
帑,巾部,きんぶ,巾,はば
帖,巾部,きんぶ,巾,はばへん きんへん きんべん
帙,巾部,きんぶ,巾,はばへん きんへん きんべん
帚,巾部,きんぶ,巾,はば
帛,巾部,きんぶ,巾,はば
帝,巾部,きんぶ,巾,はば
帥,巾部,きんぶ,巾,はば
師,巾部,きんぶ,巾,はば
席,巾部,きんぶ,巾,はば
帯,巾部,きんぶ,巾,はば
帰,巾部,きんぶ,巾,はば
帳,巾部,きんぶ,巾,はばへん きんへん きんべん
帶,巾部,きんぶ,巾,はば
帷,巾部,きんぶ,巾,はばへん きんへん きんべん
常,巾部,きんぶ,巾,はば
帽,巾部,きんぶ,巾,はばへん きんへん きんべん
幀,巾部,きんぶ,巾,はばへん きんへん きんべん
幃,巾部,きんぶ,巾,はばへん きんへん きんべん
幄,巾部,きんぶ,巾,はばへん きんへん きんべん
幅,巾部,きんぶ,巾,はばへん きんへん きんべん
幇,巾部,きんぶ,巾,はば
幌,巾部,きんぶ,巾,はばへん きんへん きんべん
幎,巾部,きんぶ,巾,はばへん きんへん きんべん
幔,巾部,きんぶ,巾,はばへん きんへん きんべん
幕,巾部,きんぶ,巾,はば
幗,巾部,きんぶ,巾,はばへん きんへん きんべん
幟,巾部,きんぶ,巾,はばへん きんへん きんべん
幡,巾部,きんぶ,巾,はばへん きんへん きんべん
幢,巾部,きんぶ,巾,はばへん きんへん きんべん
幣,巾部,きんぶ,巾,はば
幤,巾部,きんぶ,巾,はば
干,干部,かんぶ,干,ほす かん いちじゅう
平,干部,かんぶ,干,ほす かん いちじゅう
年,干部,かんぶ,干,ほす かん いちじゅう
幵,干部,かんぶ,干,ほす かん いちじゅう
并,干部,かんぶ,干,ほす かん いちじゅう
幸,干部,かんぶ,干,ほす かん いちじゅう
幹,干部,かんぶ,干,ほす かん いちじゅう
幺,幺部,ようぶ,幺,いとがしら よう
幻,幺部,ようぶ,幺,いとがしら よう
幼,幺部,ようぶ,幺,いとがしら よう
幽,幺部,ようぶ,幺,いとがしら よう
幾,幺部,ようぶ,幺,いとがしら よう
广,广部,げんぶ,广,まだれ
庁,广部,げんぶ,广,まだれ
広,广部,げんぶ,广,まだれ
庄,广部,げんぶ,广,まだれ
庇,广部,げんぶ,广,まだれ
床,广部,げんぶ,广,まだれ
序,广部,げんぶ,广,まだれ
底,广部,げんぶ,广,まだれ
庖,广部,げんぶ,广,まだれ
店,广部,げんぶ,广,まだれ
庚,广部,げんぶ,广,まだれ
府,广部,げんぶ,广,まだれ
庠,广部,げんぶ,广,まだれ
度,广部,げんぶ,广,まだれ
座,广部,げんぶ,广,まだれ
庫,广部,げんぶ,广,まだれ
庭,广部,げんぶ,广,まだれ
庵,广部,げんぶ,广,まだれ
庶,广部,げんぶ,广,まだれ
康,广部,げんぶ,广,まだれ
庸,广部,げんぶ,广,まだれ
廁,广部,げんぶ,广,まだれ
廂,广部,げんぶ,广,まだれ
廃,广部,げんぶ,广,まだれ
廈,广部,げんぶ,广,まだれ
廉,广部,げんぶ,广,まだれ
廊,广部,げんぶ,广,まだれ
廏,广部,げんぶ,广,まだれ
廐,广部,げんぶ,广,まだれ
廓,广部,げんぶ,广,まだれ
廖,广部,げんぶ,广,まだれ
廚,广部,げんぶ,广,まだれ
廛,广部,げんぶ,广,まだれ
廝,广部,げんぶ,广,まだれ
廟,广部,げんぶ,广,まだれ
廠,广部,げんぶ,广,まだれ
廡,广部,げんぶ,广,まだれ
廢,广部,げんぶ,广,まだれ
廣,广部,げんぶ,广,まだれ
廨,广部,げんぶ,广,まだれ
廩,广部,げんぶ,广,まだれ
廬,广部,げんぶ,广,まだれ
廰,广部,げんぶ,广,まだれ
廱,广部,げんぶ,广,まだれ
廳,广部,げんぶ,广,まだれ
廴,廴部,いんぶ,廴,えんにょう えんにゅう いんにょう けんにょう
延,廴部,いんぶ,廴,えんにょう えんにゅう いんにょう けんにょう
廷,廴部,いんぶ,廴,えんにょう えんにゅう いんにょう けんにょう
廸,廴部,いんぶ,廴,えんにょう えんにゅう いんにょう けんにょう
建,廴部,いんぶ,廴,えんにょう えんにゅう いんにょう けんにょう
廻,廴部,いんぶ,廴,えんにょう えんにゅう いんにょう けんにょう
廼,廴部,いんぶ,廴,えんにょう えんにゅう いんにょう けんにょう
廾,廾部,きょうぶ,廾,こまぬき にじゅうあし
廿,十部,じゅうぶ,十,ジュウ
弁,廾部,きょうぶ,廾,こまぬき にじゅうあし
弃,廾部,きょうぶ,廾,こまぬき にじゅうあし
弄,廾部,きょうぶ,廾,こまぬき にじゅうあし
弉,廾部,きょうぶ,廾,こまぬき にじゅうあし
弊,廾部,きょうぶ,廾,こまぬき にじゅうあし
弋,弋部,よくぶ,弋,よく
弌,弋部,よくぶ,弋,しきがまえ
弍,弋部,よくぶ,弋,しきがまえ
式,弋部,よくぶ,弋,しきがまえ
弐,弋部,よくぶ,弋,よく
弑,弋部,よくぶ,弋,よく
弓,弓部,きゅうぶ,弓,ゆみ
弔,弓部,きゅうぶ,弓,ゆみ
引,弓部,きゅうぶ,弓,ゆみへん
弖,弓部,きゅうぶ,弓,ゆみ
弗,弓部,きゅうぶ,弓,ゆみ
弘,弓部,きゅうぶ,弓,ゆみへん
弛,弓部,きゅうぶ,弓,ゆみへん
弟,弓部,きゅうぶ,弓,ゆみ
弥,弓部,きゅうぶ,弓,ゆみへん
弦,弓部,きゅうぶ,弓,ゆみへん
弧,弓部,きゅうぶ,弓,ゆみへん
弩,弓部,きゅうぶ,弓,ゆみ
弭,弓部,きゅうぶ,弓,ゆみへん
弯,弓部,きゅうぶ,弓,ゆみ
弱,弓部,きゅうぶ,弓,ゆみへん
張,弓部,きゅうぶ,弓,ゆみへん
強,弓部,きゅうぶ,弓,ゆみへん
弸,弓部,きゅうぶ,弓,ゆみへん
弼,弓部,きゅうぶ,弓,ゆみへん
弾,弓部,きゅうぶ,弓,ゆみへん
彁,弓部,きゅうぶ,弓,ゆみへん
彈,弓部,きゅうぶ,弓,ゆみへん
彊,弓部,きゅうぶ,弓,ゆみへん
彌,弓部,きゅうぶ,弓,ゆみへん
彎,弓部,きゅうぶ,弓,ゆみ
彐,彐部,けいぶ,彐,けいがしら いのこがしら
彑,彐部,けいぶ,彑,けいがしら いのこがしら
当,小部,しょうぶ,⺌,しょうがしら なおがしら
彖,彐部,けいぶ,彑,けいがしら いのこがしら
彗,彐部,けいぶ,⺕,けいがしら いのこがしら
彙,彐部,けいぶ,彑,けいがしら いのこがしら
彜,彐部,けいぶ,彑,けいがしら いのこがしら
彝,彐部,けいぶ,彑,けいがしら いのこがしら
彡,彡部,さんぶ,彡,さんづくり かみかざり
形,彡部,さんぶ,彡,さんづくり かみかざり
彦,彡部,さんぶ,彡,さんづくり かみかざり
彩,彡部,さんぶ,彡,さんづくり かみかざり
彪,彡部,さんぶ,彡,さんづくり かみかざり
彫,彡部,さんぶ,彡,さんづくり かみかざり
彬,彡部,さんぶ,彡,さんづくり かみかざり
彭,彡部,さんぶ,彡,さんづくり かみかざり
彰,彡部,さんぶ,彡,さんづくり かみかざり
影,彡部,さんぶ,彡,さんづくり かみかざり
彳,彳部,てきぶ,彳,ぎょうにんべん
彷,彳部,てきぶ,彳,ぎょうにんべん
役,彳部,てきぶ,彳,ぎょうにんべん
彼,彳部,てきぶ,彳,ぎょうにんべん
彿,彳部,てきぶ,彳,ぎょうにんべん
往,彳部,てきぶ,彳,ぎょうにんべん
征,彳部,てきぶ,彳,ぎょうにんべん
徂,彳部,てきぶ,彳,ぎょうにんべん
徃,彳部,てきぶ,彳,ぎょうにんべん
径,彳部,てきぶ,彳,ぎょうにんべん
待,彳部,てきぶ,彳,ぎょうにんべん
徇,彳部,てきぶ,彳,ぎょうにんべん
很,彳部,てきぶ,彳,ぎょうにんべん
徊,彳部,てきぶ,彳,ぎょうにんべん
律,彳部,てきぶ,彳,ぎょうにんべん
後,彳部,てきぶ,彳,ぎょうにんべん
徐,彳部,てきぶ,彳,ぎょうにんべん
徑,彳部,てきぶ,彳,ぎょうにんべん
徒,彳部,てきぶ,彳,ぎょうにんべん
従,彳部,てきぶ,彳,ぎょうにんべん
得,彳部,てきぶ,彳,ぎょうにんべん
徘,彳部,てきぶ,彳,ぎょうにんべん
徙,彳部,てきぶ,彳,ぎょうにんべん
從,彳部,てきぶ,彳,ぎょうにんべん
徠,彳部,てきぶ,彳,ぎょうにんべん
御,彳部,てきぶ,彳,ぎょうにんべん
徨,彳部,てきぶ,彳,ぎょうにんべん
復,彳部,てきぶ,彳,ぎょうにんべん
循,彳部,てきぶ,彳,ぎょうにんべん
徭,彳部,てきぶ,彳,ぎょうにんべん
微,彳部,てきぶ,彳,ぎょうにんべん
徳,彳部,てきぶ,彳,ぎょうにんべん
徴,彳部,てきぶ,彳,ぎょうにんべん
徹,彳部,てきぶ,彳,ぎょうにんべん
徼,彳部,てきぶ,彳,ぎょうにんべん
徽,彳部,てきぶ,彳,ぎょうにんべん
心,心部,しんぶ,心,こころ
忄,心部,しんぶ,忄,りっしんべん
必,心部,しんぶ,心,こころ
忌,心部,しんぶ,心,こころ
忍,心部,しんぶ,心,こころ
忖,心部,しんぶ,忄,りっしんべん
志,心部,しんぶ,心,こころ
忘,心部,しんぶ,心,こころ
忙,心部,しんぶ,忄,りっしんべん
応,心部,しんぶ,心,こころ
忝,心部,しんぶ,⺗,したごころ
忠,心部,しんぶ,心,こころ
忤,心部,しんぶ,忄,りっしんべん
快,心部,しんぶ,忄,りっしんべん
忰,心部,しんぶ,忄,りっしんべん
忱,心部,しんぶ,忄,りっしんべん
念,心部,しんぶ,心,こころ
忸,心部,しんぶ,忄,りっしんべん
忻,心部,しんぶ,忄,りっしんべん
忽,心部,しんぶ,心,こころ
忿,心部,しんぶ,心,こころ
怎,心部,しんぶ,心,こころ
怏,心部,しんぶ,忄,りっしんべん
怐,心部,しんぶ,忄,りっしんべん
怒,心部,しんぶ,心,こころ
怕,心部,しんぶ,忄,りっしんべん
怖,心部,しんぶ,忄,りっしんべん
怙,心部,しんぶ,忄,りっしんべん
怛,心部,しんぶ,忄,りっしんべん
怜,心部,しんぶ,忄,りっしんべん
思,心部,しんぶ,心,こころ
怠,心部,しんぶ,心,こころ
怡,心部,しんぶ,忄,りっしんべん
急,心部,しんぶ,心,こころ
怦,心部,しんぶ,忄,りっしんべん
性,心部,しんぶ,忄,りっしんべん
怨,心部,しんぶ,心,こころ
怩,心部,しんぶ,忄,りっしんべん
怪,心部,しんぶ,忄,りっしんべん
怫,心部,しんぶ,忄,りっしんべん
怯,心部,しんぶ,忄,りっしんべん
怱,心部,しんぶ,心,こころ
怺,心部,しんぶ,忄,りっしんべん
恁,心部,しんぶ,心,こころ
恂,心部,しんぶ,忄,りっしんべん
恃,心部,しんぶ,忄,りっしんべん
恆,心部,しんぶ,忄,りっしんべん
恊,心部,しんぶ,忄,りっしんべん
恋,心部,しんぶ,心,こころ
恍,心部,しんぶ,忄,りっしんべん
恐,心部,しんぶ,心,こころ
恒,心部,しんぶ,忄,りっしんべん
恕,心部,しんぶ,心,こころ
恙,心部,しんぶ,心,こころ
恚,心部,しんぶ,心,こころ
恟,心部,しんぶ,忄,りっしんべん
恠,心部,しんぶ,忄,りっしんべん
恢,心部,しんぶ,忄,りっしんべん
恣,心部,しんぶ,心,こころ
恤,心部,しんぶ,忄,りっしんべん
恥,心部,しんぶ,心,こころ
恨,心部,しんぶ,忄,りっしんべん
恩,心部,しんぶ,心,こころ
恪,心部,しんぶ,忄,りっしんべん
恫,心部,しんぶ,忄,りっしんべん
恬,心部,しんぶ,忄,りっしんべん
恭,心部,しんぶ,⺗,したごころ
息,心部,しんぶ,心,こころ
恰,心部,しんぶ,忄,りっしんべん
恵,心部,しんぶ,心,こころ
恷,心部,しんぶ,心,こころ
悁,心部,しんぶ,忄,りっしんべん
悃,心部,しんぶ,忄,りっしんべん
悄,心部,しんぶ,忄,りっしんべん
悉,心部,しんぶ,心,こころ
悋,心部,しんぶ,忄,りっしんべん
悌,心部,しんぶ,忄,りっしんべん
悍,心部,しんぶ,忄,りっしんべん
悒,心部,しんぶ,忄,りっしんべん
悔,心部,しんぶ,忄,りっしんべん
悖,心部,しんぶ,忄,りっしんべん
悗,心部,しんぶ,忄,りっしんべん
悚,心部,しんぶ,忄,りっしんべん
悛,心部,しんぶ,忄,りっしんべん
悟,心部,しんぶ,忄,りっしんべん
悠,心部,しんぶ,心,こころ
患,心部,しんぶ,心,こころ
悦,心部,しんぶ,忄,りっしんべん
悧,心部,しんぶ,忄,りっしんべん
悩,心部,しんぶ,忄,りっしんべん
悪,心部,しんぶ,心,こころ
悲,心部,しんぶ,心,こころ
悳,心部,しんぶ,心,こころ
悴,心部,しんぶ,忄,りっしんべん
悵,心部,しんぶ,忄,りっしんべん
悶,心部,しんぶ,心,こころ
悸,心部,しんぶ,忄,りっしんべん
悼,心部,しんぶ,忄,りっしんべん
悽,心部,しんぶ,忄,りっしんべん
情,心部,しんぶ,忄,りっしんべん
惆,心部,しんぶ,忄,りっしんべん
惇,心部,しんぶ,忄,りっしんべん
惑,心部,しんぶ,心,こころ
惓,心部,しんぶ,忄,りっしんべん
惘,心部,しんぶ,忄,りっしんべん
惚,心部,しんぶ,忄,りっしんべん
惜,心部,しんぶ,忄,りっしんべん
惟,心部,しんぶ,忄,りっしんべん
惠,心部,しんぶ,心,こころ
惡,心部,しんぶ,心,こころ
惣,心部,しんぶ,心,こころ
惧,心部,しんぶ,忄,りっしんべん
惨,心部,しんぶ,忄,りっしんべん
惰,心部,しんぶ,忄,りっしんべん
惱,心部,しんぶ,忄,りっしんべん
想,心部,しんぶ,心,こころ
惴,心部,しんぶ,忄,りっしんべん
惶,心部,しんぶ,忄,りっしんべん
惷,心部,しんぶ,心,こころ
惹,心部,しんぶ,心,こころ
惺,心部,しんぶ,忄,りっしんべん
惻,心部,しんぶ,忄,りっしんべん
愀,心部,しんぶ,忄,りっしんべん
愁,心部,しんぶ,心,こころ
愃,心部,しんぶ,忄,りっしんべん
愆,心部,しんぶ,心,こころ
愈,心部,しんぶ,心,こころ
愉,心部,しんぶ,忄,りっしんべん
愍,心部,しんぶ,心,こころ
愎,心部,しんぶ,忄,りっしんべん
意,心部,しんぶ,心,こころ
愕,心部,しんぶ,忄,りっしんべん
愚,心部,しんぶ,心,こころ
愛,心部,しんぶ,心,こころ
感,心部,しんぶ,心,こころ
愡,心部,しんぶ,忄,りっしんべん
愧,心部,しんぶ,忄,りっしんべん
愨,心部,しんぶ,心,こころ
愬,心部,しんぶ,心,こころ
愴,心部,しんぶ,忄,りっしんべん
愼,心部,しんぶ,忄,りっしんべん
愽,心部,しんぶ,忄,りっしんべん
愾,心部,しんぶ,忄,りっしんべん
愿,心部,しんぶ,心,こころ
慂,心部,しんぶ,心,こころ
慄,心部,しんぶ,忄,りっしんべん
慇,心部,しんぶ,心,こころ
慈,心部,しんぶ,心,こころ
慊,心部,しんぶ,忄,りっしんべん
態,心部,しんぶ,心,こころ
慌,心部,しんぶ,忄,りっしんべん
慍,心部,しんぶ,忄,りっしんべん
慎,心部,しんぶ,忄,りっしんべん
慓,心部,しんぶ,忄,りっしんべん
慕,心部,しんぶ,⺗,したごころ
慘,心部,しんぶ,忄,りっしんべん
慙,心部,しんぶ,心,こころ
慚,心部,しんぶ,忄,りっしんべん
慝,心部,しんぶ,心,こころ
慟,心部,しんぶ,忄,りっしんべん
慢,心部,しんぶ,忄,りっしんべん
慣,心部,しんぶ,忄,りっしんべん
慥,心部,しんぶ,忄,りっしんべん
慧,心部,しんぶ,心,こころ
慨,心部,しんぶ,忄,りっしんべん
慫,心部,しんぶ,心,こころ
慮,心部,しんぶ,心,こころ
慯,心部,しんぶ,忄,りっしんべん
慰,心部,しんぶ,心,こころ
慱,心部,しんぶ,忄,りっしんべん
慳,心部,しんぶ,忄,りっしんべん
慴,心部,しんぶ,忄,りっしんべん
慵,心部,しんぶ,忄,りっしんべん
慶,心部,しんぶ,心,こころ
慷,心部,しんぶ,忄,りっしんべん
慾,心部,しんぶ,心,こころ
憂,心部,しんぶ,心,こころ
憇,心部,しんぶ,心,こころ
憊,心部,しんぶ,心,こころ
憎,心部,しんぶ,忄,りっしんべん
憐,心部,しんぶ,忄,りっしんべん
憑,心部,しんぶ,心,こころ
憔,心部,しんぶ,忄,りっしんべん
憖,心部,しんぶ,心,こころ
憙,心部,しんぶ,心,こころ
憚,心部,しんぶ,忄,りっしんべん
憤,心部,しんぶ,忄,りっしんべん
憧,心部,しんぶ,忄,りっしんべん
憩,心部,しんぶ,心,こころ
憫,心部,しんぶ,忄,りっしんべん
憬,心部,しんぶ,忄,りっしんべん
憮,心部,しんぶ,忄,りっしんべん
憲,心部,しんぶ,心,こころ
憶,心部,しんぶ,忄,りっしんべん
憺,心部,しんぶ,忄,りっしんべん
憾,心部,しんぶ,忄,りっしんべん
懃,心部,しんぶ,心,こころ
懆,心部,しんぶ,忄,りっしんべん
懇,心部,しんぶ,心,こころ
懈,心部,しんぶ,忄,りっしんべん
應,心部,しんぶ,心,こころ
懊,心部,しんぶ,忄,りっしんべん
懋,心部,しんぶ,心,こころ
懌,心部,しんぶ,忄,りっしんべん
懍,心部,しんぶ,忄,りっしんべん
懐,心部,しんぶ,忄,りっしんべん
懣,心部,しんぶ,心,こころ
懦,心部,しんぶ,忄,りっしんべん
懲,心部,しんぶ,心,こころ
懴,心部,しんぶ,忄,りっしんべん
懶,心部,しんぶ,忄,りっしんべん
懷,心部,しんぶ,忄,りっしんべん
懸,心部,しんぶ,心,こころ
懺,心部,しんぶ,忄,りっしんべん
懼,心部,しんぶ,忄,りっしんべん
懽,心部,しんぶ,忄,りっしんべん
懾,心部,しんぶ,忄,りっしんべん
懿,心部,しんぶ,心,こころ
戀,心部,しんぶ,心,こころ
戈,戈部,かぶ,戈,たすき かのほこ
戉,戈部,かぶ,戈,たすき かのほこ
戊,戈部,かぶ,戈,たすき かのほこ
戌,戈部,かぶ,戈,たすき かのほこ
戍,戈部,かぶ,戈,たすき かのほこ
戎,戈部,かぶ,戈,ほこがまえ
成,戈部,かぶ,戈,たすき かのほこ
我,戈部,かぶ,戈,たすき かのほこ
戒,戈部,かぶ,戈,たすき かのほこ
戔,戈部,かぶ,戈,たすき かのほこ
或,戈部,かぶ,戈,たすき かのほこ
戚,戈部,かぶ,戈,たすき かのほこ
戛,戈部,かぶ,戈,たすき かのほこ
戝,戈部,かぶ,戈,ほこづくり
戞,戈部,かぶ,戈,たすき かのほこ
戟,戈部,かぶ,戈,ほこづくり
戠,戈部,かぶ,戈,たすき かのほこ
戡,戈部,かぶ,戈,ほこづくり
戦,戈部,かぶ,戈,ほこづくり
截,戈部,かぶ,戈,たすき かのほこ
戮,戈部,かぶ,戈,ほこづくり
戯,戈部,かぶ,戈,ほこづくり
戰,戈部,かぶ,戈,ほこづくり
戲,戈部,かぶ,戈,ほこづくり
戳,戈部,かぶ,戈,ほこづくり
戴,戈部,かぶ,戈,たすき かのほこ
戸,戶部,こぶ,戸,と とびらのと
戻,戶部,こぶ,戸,と とびらのと
房,戶部,こぶ,戸,とだれ
所,戶部,こぶ,戸,と とびらのと
扁,戶部,こぶ,戸,とだれ
扇,戶部,こぶ,戸,とだれ
扈,戶部,こぶ,戸,とだれ
扉,戶部,こぶ,戸,とだれ
手,手部,しゅぶ,手,て
扌,手部,しゅぶ,扌,てへん
才,手部,しゅぶ,扌,てへん
扎,手部,しゅぶ,扌,てへん
打,手部,しゅぶ,扌,てへん
払,手部,しゅぶ,扌,てへん
托,手部,しゅぶ,扌,てへん
扛,手部,しゅぶ,扌,てへん
扞,手部,しゅぶ,扌,てへん
扠,手部,しゅぶ,扌,てへん
扣,手部,しゅぶ,扌,てへん
扨,手部,しゅぶ,扌,てへん
扮,手部,しゅぶ,扌,てへん
扱,手部,しゅぶ,扌,てへん
扶,手部,しゅぶ,扌,てへん
批,手部,しゅぶ,扌,てへん
扼,手部,しゅぶ,扌,てへん
找,手部,しゅぶ,扌,てへん
承,手部,しゅぶ,手,て
技,手部,しゅぶ,扌,てへん
抂,手部,しゅぶ,扌,てへん
抃,手部,しゅぶ,扌,てへん
抄,手部,しゅぶ,扌,てへん
抉,手部,しゅぶ,扌,てへん
把,手部,しゅぶ,扌,てへん
抑,手部,しゅぶ,扌,てへん
抒,手部,しゅぶ,扌,てへん
抓,手部,しゅぶ,扌,てへん
抔,手部,しゅぶ,扌,てへん
投,手部,しゅぶ,扌,てへん
抖,手部,しゅぶ,扌,てへん
抗,手部,しゅぶ,扌,てへん
折,手部,しゅぶ,扌,てへん
抛,手部,しゅぶ,扌,てへん
抜,手部,しゅぶ,扌,てへん
択,手部,しゅぶ,扌,てへん
披,手部,しゅぶ,扌,てへん
抬,手部,しゅぶ,扌,てへん
抱,手部,しゅぶ,扌,てへん
抵,手部,しゅぶ,扌,てへん
抹,手部,しゅぶ,扌,てへん
抻,手部,しゅぶ,扌,てへん
押,手部,しゅぶ,扌,てへん
抽,手部,しゅぶ,扌,てへん
拂,手部,しゅぶ,扌,てへん
担,手部,しゅぶ,扌,てへん
拆,手部,しゅぶ,扌,てへん
拇,手部,しゅぶ,扌,てへん
拈,手部,しゅぶ,扌,てへん
拉,手部,しゅぶ,扌,てへん
拊,手部,しゅぶ,扌,てへん
拌,手部,しゅぶ,扌,てへん
拍,手部,しゅぶ,扌,てへん
拏,手部,しゅぶ,手,て
拐,手部,しゅぶ,扌,てへん
拑,手部,しゅぶ,扌,てへん
拒,手部,しゅぶ,扌,てへん
拓,手部,しゅぶ,扌,てへん
拔,手部,しゅぶ,扌,てへん
拗,手部,しゅぶ,扌,てへん
拘,手部,しゅぶ,扌,てへん
拙,手部,しゅぶ,扌,てへん
招,手部,しゅぶ,扌,てへん
拜,手部,しゅぶ,手,て
拝,手部,しゅぶ,扌,てへん
拠,手部,しゅぶ,扌,てへん
拡,手部,しゅぶ,扌,てへん
括,手部,しゅぶ,扌,てへん
拭,手部,しゅぶ,扌,てへん
拮,手部,しゅぶ,扌,てへん
拯,手部,しゅぶ,扌,てへん
拱,手部,しゅぶ,扌,てへん
拳,手部,しゅぶ,手,て
拵,手部,しゅぶ,扌,てへん
拶,手部,しゅぶ,扌,てへん
拷,手部,しゅぶ,扌,てへん
拾,手部,しゅぶ,扌,てへん
拿,手部,しゅぶ,手,て
持,手部,しゅぶ,扌,てへん
挂,手部,しゅぶ,扌,てへん
指,手部,しゅぶ,扌,てへん
挈,手部,しゅぶ,手,て
按,手部,しゅぶ,扌,てへん
挌,手部,しゅぶ,扌,てへん
挑,手部,しゅぶ,扌,てへん
挙,手部,しゅぶ,手,て
挟,手部,しゅぶ,扌,てへん
挧,手部,しゅぶ,扌,てへん
挨,手部,しゅぶ,扌,てへん
挫,手部,しゅぶ,扌,てへん
振,手部,しゅぶ,扌,てへん
挺,手部,しゅぶ,扌,てへん
挽,手部,しゅぶ,扌,てへん
挾,手部,しゅぶ,扌,てへん
挿,手部,しゅぶ,扌,てへん
捉,手部,しゅぶ,扌,てへん
捌,手部,しゅぶ,扌,てへん
捍,手部,しゅぶ,扌,てへん
捏,手部,しゅぶ,扌,てへん
捐,手部,しゅぶ,扌,てへん
捕,手部,しゅぶ,扌,てへん
捗,手部,しゅぶ,扌,てへん
捜,手部,しゅぶ,扌,てへん
捧,手部,しゅぶ,扌,てへん
捨,手部,しゅぶ,扌,てへん
捩,手部,しゅぶ,扌,てへん
捫,手部,しゅぶ,扌,てへん
据,手部,しゅぶ,扌,てへん
捲,手部,しゅぶ,扌,てへん
捶,手部,しゅぶ,扌,てへん
捷,手部,しゅぶ,扌,てへん
捺,手部,しゅぶ,扌,てへん
捻,手部,しゅぶ,扌,てへん
掀,手部,しゅぶ,扌,てへん
掃,手部,しゅぶ,扌,てへん
授,手部,しゅぶ,扌,てへん
掉,手部,しゅぶ,扌,てへん
掌,手部,しゅぶ,手,て
掎,手部,しゅぶ,扌,てへん
掏,手部,しゅぶ,扌,てへん
排,手部,しゅぶ,扌,てへん
掖,手部,しゅぶ,扌,てへん
掘,手部,しゅぶ,扌,てへん
掛,手部,しゅぶ,扌,てへん
掟,手部,しゅぶ,扌,てへん
掠,手部,しゅぶ,扌,てへん
採,手部,しゅぶ,扌,てへん
探,手部,しゅぶ,扌,てへん
掣,手部,しゅぶ,手,て
接,手部,しゅぶ,扌,てへん
控,手部,しゅぶ,扌,てへん
推,手部,しゅぶ,扌,てへん
掩,手部,しゅぶ,扌,てへん
措,手部,しゅぶ,扌,てへん
掫,手部,しゅぶ,扌,てへん
掬,手部,しゅぶ,扌,てへん
掲,手部,しゅぶ,扌,てへん
掴,手部,しゅぶ,扌,てへん
掵,手部,しゅぶ,扌,てへん
掻,手部,しゅぶ,扌,てへん
掾,手部,しゅぶ,扌,てへん
揀,手部,しゅぶ,扌,てへん
揃,手部,しゅぶ,扌,てへん
揄,手部,しゅぶ,扌,てへん
揆,手部,しゅぶ,扌,てへん
揉,手部,しゅぶ,扌,てへん
描,手部,しゅぶ,扌,てへん
提,手部,しゅぶ,扌,てへん
插,手部,しゅぶ,扌,てへん
揖,手部,しゅぶ,扌,てへん
揚,手部,しゅぶ,扌,てへん
換,手部,しゅぶ,扌,てへん
握,手部,しゅぶ,扌,てへん
揣,手部,しゅぶ,扌,てへん
揩,手部,しゅぶ,扌,てへん
揮,手部,しゅぶ,扌,てへん
援,手部,しゅぶ,扌,てへん
揶,手部,しゅぶ,扌,てへん
揺,手部,しゅぶ,扌,てへん
搆,手部,しゅぶ,扌,てへん
損,手部,しゅぶ,扌,てへん
搏,手部,しゅぶ,扌,てへん
搓,手部,しゅぶ,扌,てへん
搖,手部,しゅぶ,扌,てへん
搗,手部,しゅぶ,扌,てへん
搜,手部,しゅぶ,扌,てへん
搦,手部,しゅぶ,扌,てへん
搨,手部,しゅぶ,扌,てへん
搬,手部,しゅぶ,扌,てへん
搭,手部,しゅぶ,扌,てへん
搴,手部,しゅぶ,手,て
搶,手部,しゅぶ,扌,てへん
携,手部,しゅぶ,扌,てへん
搾,手部,しゅぶ,扌,てへん
摂,手部,しゅぶ,扌,てへん
