仟,人部,じんぶ,亻,にんべん
代,人部,じんぶ,亻,にんべん
令,人部,じんぶ,人,ひとがしら ひとやね ひとかんむり
以,人部,じんぶ,人,ひと
仭,人部,じんぶ,亻,にんべん
仮,人部,じんぶ,亻,にんべん
仰,人部,じんぶ,亻,にんべん
仲,人部,じんぶ,亻,にんべん
件,人部,じんぶ,亻,にんべん
价,人部,じんぶ,亻,にんべん
任,人部,じんぶ,亻,にんべん
企,人部,じんぶ,人,ひとがしら ひとやね ひとかんむり
伉,人部,じんぶ,亻,にんべん
伊,人部,じんぶ,亻,にんべん
伍,人部,じんぶ,亻,にんべん
伎,人部,じんぶ,亻,にんべん
伏,人部,じんぶ,亻,にんべん
伐,人部,じんぶ,亻,にんべん
休,人部,じんぶ,亻,にんべん
会,人部,じんぶ,人,ひとがしら ひとやね ひとかんむり
伜,人部,じんぶ,亻,にんべん
伝,人部,じんぶ,亻,にんべん
伯,人部,じんぶ,亻,にんべん
估,人部,じんぶ,亻,にんべん
伴,人部,じんぶ,亻,にんべん
伶,人部,じんぶ,亻,にんべん
伸,人部,じんぶ,亻,にんべん
伺,人部,じんぶ,亻,にんべん
似,人部,じんぶ,亻,にんべん
伽,人部,じんぶ,亻,にんべん
佃,人部,じんぶ,亻,にんべん
但,人部,じんぶ,亻,にんべん
佇,人部,じんぶ,亻,にんべん
位,人部,じんぶ,亻,にんべん
低,人部,じんぶ,亻,にんべん
住,人部,じんぶ,亻,にんべん
佐,人部,じんぶ,亻,にんべん
佑,人部,じんぶ,亻,にんべん
体,人部,じんぶ,亻,にんべん
何,人部,じんぶ,亻,にんべん
佗,人部,じんぶ,亻,にんべん
余,人部,じんぶ,人,ひとがしら ひとやね ひとかんむり
佚,人部,じんぶ,亻,にんべん
佛,人部,じんぶ,亻,にんべん
作,人部,じんぶ,亻,にんべん
佝,人部,じんぶ,亻,にんべん
佞,人部,じんぶ,亻,にんべん
佩,人部,じんぶ,亻,にんべん
佯,人部,じんぶ,亻,にんべん
佰,人部,じんぶ,亻,にんべん
佳,人部,じんぶ,亻,にんべん
併,人部,じんぶ,亻,にんべん
佶,人部,じんぶ,亻,にんべん
佻,人部,じんぶ,亻,にんべん
佼,人部,じんぶ,亻,にんべん
使,人部,じんぶ,亻,にんべん
侃,人部,じんぶ,亻,にんべん
來,人部,じんぶ,人,ひと
侈,人部,じんぶ,亻,にんべん
例,人部,じんぶ,亻,にんべん
侍,人部,じんぶ,亻,にんべん
侏,人部,じんぶ,亻,にんべん
侑,人部,じんぶ,亻,にんべん
侖,人部,じんぶ,人,ひとがしら ひとやね ひとかんむり
侘,人部,じんぶ,亻,にんべん
供,人部,じんぶ,亻,にんべん
依,人部,じんぶ,亻,にんべん
侠,人部,じんぶ,亻,にんべん
価,人部,じんぶ,亻,にんべん
侫,人部,じんぶ,亻,にんべん
侭,人部,じんぶ,亻,にんべん
侮,人部,じんぶ,亻,にんべん
侯,人部,じんぶ,亻,にんべん
侵,人部,じんぶ,亻,にんべん
侶,人部,じんぶ,亻,にんべん
便,人部,じんぶ,亻,にんべん
係,人部,じんぶ,亻,にんべん
促,人部,じんぶ,亻,にんべん
俄,人部,じんぶ,亻,にんべん
俊,人部,じんぶ,亻,にんべん
俎,人部,じんぶ,人,ひとがしら ひとやね ひとかんむり
俐,人部,じんぶ,亻,にんべん
俑,人部,じんぶ,亻,にんべん
俔,人部,じんぶ,亻,にんべん
俗,人部,じんぶ,亻,にんべん
俘,人部,じんぶ,亻,にんべん
俚,人部,じんぶ,亻,にんべん
俛,人部,じんぶ,亻,にんべん
保,人部,じんぶ,亻,にんべん
俟,人部,じんぶ,亻,にんべん
信,人部,じんぶ,亻,にんべん
俣,人部,じんぶ,亻,にんべん
俤,人部,じんぶ,亻,にんべん
俥,人部,じんぶ,亻,にんべん
修,人部,じんぶ,亻,にんべん
俯,人部,じんぶ,亻,にんべん
俱,人部,じんぶ,亻,にんべん
俳,人部,じんぶ,亻,にんべん
俵,人部,じんぶ,亻,にんべん
俶,人部,じんぶ,亻,にんべん
俸,人部,じんぶ,亻,にんべん
俺,人部,じんぶ,亻,にんべん
俾,人部,じんぶ,亻,にんべん
倅,人部,じんぶ,亻,にんべん
倆,人部,じんぶ,亻,にんべん
倉,人部,じんぶ,人,ひとがしら ひとやね ひとかんむり
個,人部,じんぶ,亻,にんべん
倍,人部,じんぶ,亻,にんべん
倏,人部,じんぶ,亻,にんべん
們,人部,じんぶ,亻,にんべん
倒,人部,じんぶ,亻,にんべん
倔,人部,じんぶ,亻,にんべん
倖,人部,じんぶ,亻,にんべん
候,人部,じんぶ,亻,にんべん
倚,人部,じんぶ,亻,にんべん
借,人部,じんぶ,亻,にんべん
倡,人部,じんぶ,亻,にんべん
倣,人部,じんぶ,亻,にんべん
値,人部,じんぶ,亻,にんべん
倥,人部,じんぶ,亻,にんべん
倦,人部,じんぶ,亻,にんべん
倨,人部,じんぶ,亻,にんべん
倩,人部,じんぶ,亻,にんべん
倪,人部,じんぶ,亻,にんべん
倫,人部,じんぶ,亻,にんべん
倬,人部,じんぶ,亻,にんべん
倭,人部,じんぶ,亻,にんべん
倶,人部,じんぶ,亻,にんべん
倹,人部,じんぶ,亻,にんべん
偃,人部,じんぶ,亻,にんべん
假,人部,じんぶ,亻,にんべん
偈,人部,じんぶ,亻,にんべん
偉,人部,じんぶ,亻,にんべん
偏,人部,じんぶ,亻,にんべん
偐,人部,じんぶ,亻,にんべん
偕,人部,じんぶ,亻,にんべん
偖,人部,じんぶ,亻,にんべん
做,人部,じんぶ,亻,にんべん
停,人部,じんぶ,亻,にんべん
健,人部,じんぶ,亻,にんべん
偬,人部,じんぶ,亻,にんべん
偲,人部,じんぶ,亻,にんべん
側,人部,じんぶ,亻,にんべん
偵,人部,じんぶ,亻,にんべん
偶,人部,じんぶ,亻,にんべん
偸,人部,じんぶ,亻,にんべん
偽,人部,じんぶ,亻,にんべん
傀,人部,じんぶ,亻,にんべん
傅,人部,じんぶ,亻,にんべん
傍,人部,じんぶ,亻,にんべん
傑,人部,じんぶ,亻,にんべん
傘,人部,じんぶ,人,ひとがしら ひとやね ひとかんむり
備,人部,じんぶ,亻,にんべん
傚,人部,じんぶ,亻,にんべん
催,人部,じんぶ,亻,にんべん
傭,人部,じんぶ,亻,にんべん
傲,人部,じんぶ,亻,にんべん
傳,人部,じんぶ,亻,にんべん
傴,人部,じんぶ,亻,にんべん
債,人部,じんぶ,亻,にんべん
傷,人部,じんぶ,亻,にんべん
傾,人部,じんぶ,亻,にんべん
僂,人部,じんぶ,亻,にんべん
僅,人部,じんぶ,亻,にんべん
僉,人部,じんぶ,人,ひとがしら ひとやね ひとかんむり
僊,人部,じんぶ,亻,にんべん
働,人部,じんぶ,亻,にんべん
像,人部,じんぶ,亻,にんべん
僑,人部,じんぶ,亻,にんべん
僕,人部,じんぶ,亻,にんべん
僖,人部,じんぶ,亻,にんべん
僚,人部,じんぶ,亻,にんべん
僞,人部,じんぶ,亻,にんべん
僣,人部,じんぶ,亻,にんべん
僥,人部,じんぶ,亻,にんべん
僧,人部,じんぶ,亻,にんべん
僭,人部,じんぶ,亻,にんべん
僮,人部,じんぶ,亻,にんべん
僵,人部,じんぶ,亻,にんべん
價,人部,じんぶ,亻,にんべん
僻,人部,じんぶ,亻,にんべん
儀,人部,じんぶ,亻,にんべん
儁,人部,じんぶ,亻,にんべん
儂,人部,じんぶ,亻,にんべん
億,人部,じんぶ,亻,にんべん
儉,人部,じんぶ,亻,にんべん
儒,人部,じんぶ,亻,にんべん
儔,人部,じんぶ,亻,にんべん
儕,人部,じんぶ,亻,にんべん
儖,人部,じんぶ,亻,にんべん
儘,人部,じんぶ,亻,にんべん
儚,人部,じんぶ,亻,にんべん
償,人部,じんぶ,亻,にんべん
儡,人部,じんぶ,亻,にんべん
優,人部,じんぶ,亻,にんべん
儲,人部,じんぶ,亻,にんべん
儷,人部,じんぶ,亻,にんべん
儺,人部,じんぶ,亻,にんべん
儻,人部,じんぶ,亻,にんべん
儼,人部,じんぶ,亻,にんべん
儿,儿部,じんぶ,儿,ひとあし
兀,儿部,じんぶ,儿,ひとあし
允,儿部,じんぶ,儿,ひとあし
元,儿部,じんぶ,儿,ひとあし
兄,儿部,じんぶ,儿,ひとあし
充,儿部,じんぶ,儿,ひとあし
兆,儿部,じんぶ,儿,ひとあし
兇,儿部,じんぶ,儿,ひとあし
先,儿部,じんぶ,儿,ひとあし
光,儿部,じんぶ,儿,ひとあし
克,儿部,じんぶ,儿,ひとあし
兌,儿部,じんぶ,儿,ひとあし
免,儿部,じんぶ,儿,ひとあし
兎,儿部,じんぶ,儿,ひとあし
児,儿部,じんぶ,儿,ひとあし
兒,儿部,じんぶ,儿,ひとあし
兔,儿部,じんぶ,儿,ひとあし
党,儿部,じんぶ,儿,ひとあし
兜,儿部,じんぶ,儿,ひとあし
兢,儿部,じんぶ,儿,ひとあし
入,入部,にゅうぶ,入,いる
全,人部,じんぶ,人,ひとがしら ひとやね ひとかんむり
兩,入部,にゅうぶ,入,いる
兪,入部,にゅうぶ,入,いりがしら いりやね
八,八部,はちぶ,八,はち は
